t: 0, i: 0, Train Loss: 0.476, Train Acc: 0.854, Eval Loss: 0.309, Eval Acc: 0.913
t: 0, i: 1, Train Loss: 0.298, Train Acc: 0.915, Eval Loss: 0.313, Eval Acc: 0.907
t: 0, i: 2, Train Loss: 0.285, Train Acc: 0.918, Eval Loss: 0.275, Eval Acc: 0.924
t: 0, i: 3, Train Loss: 0.276, Train Acc: 0.922, Eval Loss: 0.278, Eval Acc: 0.920
t: 0, i: 4, Train Loss: 0.270, Train Acc: 0.923, Eval Loss: 0.269, Eval Acc: 0.922
t: 0, i: 5, Train Loss: 0.267, Train Acc: 0.925, Eval Loss: 0.261, Eval Acc: 0.925
t: 0, i: 6, Train Loss: 0.263, Train Acc: 0.925, Eval Loss: 0.266, Eval Acc: 0.926
t: 0, i: 7, Train Loss: 0.260, Train Acc: 0.927, Eval Loss: 0.268, Eval Acc: 0.923
t: 0, i: 8, Train Loss: 0.257, Train Acc: 0.927, Eval Loss: 0.261, Eval Acc: 0.925
t: 0, i: 9, Train Loss: 0.254, Train Acc: 0.927, Eval Loss: 0.268, Eval Acc: 0.924
t: 0, i: 10, Train Loss: 0.251, Train Acc: 0.929, Eval Loss: 0.265, Eval Acc: 0.922
t: 0, i: 11, Train Loss: 0.249, Train Acc: 0.929, Eval Loss: 0.266, Eval Acc: 0.923
t: 0, i: 12, Train Loss: 0.247, Train Acc: 0.930, Eval Loss: 0.262, Eval Acc: 0.925
t: 0, i: 13, Train Loss: 0.246, Train Acc: 0.930, Eval Loss: 0.263, Eval Acc: 0.925
t: 0, i: 14, Train Loss: 0.244, Train Acc: 0.931, Eval Loss: 0.262, Eval Acc: 0.927
t: 0, i: 15, Train Loss: 0.242, Train Acc: 0.931, Eval Loss: 0.268, Eval Acc: 0.923
t: 0, i: 16, Train Loss: 0.240, Train Acc: 0.932, Eval Loss: 0.266, Eval Acc: 0.925
t: 0, i: 17, Train Loss: 0.239, Train Acc: 0.933, Eval Loss: 0.264, Eval Acc: 0.923
t: 0, i: 18, Train Loss: 0.238, Train Acc: 0.932, Eval Loss: 0.263, Eval Acc: 0.926
t: 0, i: 19, Train Loss: 0.236, Train Acc: 0.933, Eval Loss: 0.258, Eval Acc: 0.928
t: 5, i: 0, Train Loss: 0.330, Train Acc: 0.903, Eval Loss: 0.499, Eval Acc: 0.845
t: 5, i: 1, Train Loss: 0.242, Train Acc: 0.930, Eval Loss: 0.995, Eval Acc: 0.656
t: 5, i: 2, Train Loss: 0.219, Train Acc: 0.937, Eval Loss: 0.919, Eval Acc: 0.694
t: 5, i: 3, Train Loss: 0.205, Train Acc: 0.941, Eval Loss: 1.614, Eval Acc: 0.553
t: 5, i: 4, Train Loss: 0.195, Train Acc: 0.944, Eval Loss: 1.760, Eval Acc: 0.538
t: 5, i: 5, Train Loss: 0.186, Train Acc: 0.947, Eval Loss: 1.807, Eval Acc: 0.549
t: 5, i: 6, Train Loss: 0.179, Train Acc: 0.949, Eval Loss: 2.066, Eval Acc: 0.502
t: 5, i: 7, Train Loss: 0.174, Train Acc: 0.950, Eval Loss: 2.230, Eval Acc: 0.478
t: 5, i: 8, Train Loss: 0.168, Train Acc: 0.952, Eval Loss: 2.885, Eval Acc: 0.428
t: 5, i: 9, Train Loss: 0.163, Train Acc: 0.953, Eval Loss: 2.993, Eval Acc: 0.424
t: 5, i: 10, Train Loss: 0.159, Train Acc: 0.954, Eval Loss: 2.685, Eval Acc: 0.442
t: 5, i: 11, Train Loss: 0.155, Train Acc: 0.955, Eval Loss: 3.525, Eval Acc: 0.385
t: 5, i: 12, Train Loss: 0.153, Train Acc: 0.955, Eval Loss: 3.147, Eval Acc: 0.407
